Año,Mes,LPEI rural,LPEI urbano,LPI rural,LPI urbano
2016,01,1034.91,1361.24,2050.84,2942.08
2016,02,1043.98,1371.3900000000003,2063.49,2955.6000000000004
2016,03,1040.96,1368.09,2060.9,2952.01
2016,04,1036.83,1365.67,2049.55,2933.7799999999997
2016,05,1029.74,1360.7299999999996,2028,2899.8499999999995
2016,06,1018.7,1350.94,2018.5500000000002,2889.48
2016,07,1015.44,1348.8000000000002,2019,2893.09
2016,08,1018.43,1351.25,2030.13,2903.92
2016,09,1043.65,1375.79,2061.59,2934.54
2016,10,1046.15,1378.5100000000002,2076.3,2957.3500000000004
2016,11,1052.21,1385.67,2098.01,2990.94
2016,12,1063.71,1400.8200000000002,2111.76,3008.2700000000004
2017,01,1061.81,1404.53,2139.38,3073.56
2017,02,1055.86,1401.77,2141.02,3083.74
2017,03,1067.37,1414.8200000000002,2157.01,3100.11
2017,04,1080.81,1428.6699999999996,2164.66,3098.4699999999993
2017,05,1090.9,1438.9800000000002,2166.71,3088.1500000000005
2017,06,1099.98,1449.87,2176.45,3099.38
2017,07,1120.08,1471.6100000000001,2196.04,3118.13
2017,08,1141.94,1495.98,2223.06,3151.6
2017,09,1146.75,1504.82,2234.9700000000003,3169.83
2017,10,1130.92,1491.0700000000002,2234.15,3191.54
2017,11,1138.99,1498.9799999999998,2261.4300000000003,3234.79
2017,12,1153.5,1513.6200000000001,2281.0299999999997,3256.86
2018,01,1151.09,1514.9299999999996,2287.83,3275.2199999999993
2018,02,1135.16,1500.8899999999999,2281.7200000000003,3275.6
2018,03,1148.31,1514.1599999999999,2299.52,3293.25
2018,04,1147.23,1514.5700000000002,2291.95,3275.94
2018,05,1136.49,1504.2999999999997,2270.83,3250.93
2018,06,1135.34,1506.1399999999999,2274.31,3264.7299999999996
2018,07,1145.5,1521.4600000000003,2288.41,3287.6400000000003
2018,08,1164.75,1544.0700000000002,2316.5299999999997,3325.4
2018,09,1168.41,1547.5999999999997,2328.02,3346.83
2018,10,1165.41,1543.1300000000003,2338.4,3364.8
2018,11,1185.71,1562.6799999999998,2374.01,3405.3599999999997
2018,12,1208.47,1586.96,2397.31,3427.73
2019,01,1218,1600.71,2406.83,3437.12
2019,02,1201.97,1587.73,2396.98,3434.16
2019,03,1208.6,1595.9900000000005,2410.41,3454.9300000000003
2019,04,1216.56,1605.2199999999998,2410.52,3446.47
2019,05,1210.27,1598.4699999999998,2392.2,3415.5699999999997
